rip off
over charged
over priced
worth every penny
affordable prices
fair prices
fairly priced
best margaritas
happy hour
luke warm
cold food
best tacos
best taco
best guacamole
fresh guac
homemade guacamole
small portions
laid back
hidden gem
little gem
terrible service
horrible service
worst service
poor service
sent back
wrong food
never received
extremely attentive
outstanding service
extremely helpful
took forever
finally came
patio seating
food poisoning
got sick
only saving grace
only redeeming
only positive

